anio,valor,cobertura_bruta,cobertura_neta,desercion,aprobacion,reprobacion,repitencia
2011,0,114.5,99.3,5.97,92.08,1.96,0.33
2012,5.174644243208279,112.6,100.7,6.62,89.59,3.79,0.35
2013,15.203729981755524,115,93.3,3.28,92.91,3.81,0.94
2014,9.935419771485344,101.63,91.42,2.1,97.71,0.19,3.17
2015,4.878048780487805,104.34,93.1,4.15,89.22,6.63,4.78
2016,4.773269689737471,102.25,90.88,3.66,90.02,6.32,3.75
2017,0,99.52,89.46,2.23,92.34,5.43,1.45
2018,4.576030750926646,101.5,91.49,2.53,92.71,4.76,1.79
2019,4.4758750335690625,99.6,90.46,4.73,91.49,3.79,1.26
2020,13.214112672334052,98.29,88.67,2.53,93.55,3.92,3.24
2021,8.679425422037061,100.59,90.95,7.72,86.44,5.84,3.59
2022,17.16738197424893,102.88,93.39,5.44,86.73,7.83,4.11
2023,0,102.8,95.37,4.45,89.62,5.93,9.93
2024,4.196038939241356,100.94,95.11,4.96,91.55,3.48,8.87
