iso3,NAME_2,cod_local,anio,zona,etnia,valor
COL,Altos del Sol,NA,2016,periurbano,Indígena,NA
COL,Altos del Sol,NA,2016,periurbano,No indígena,NA
COL,Altos del Sol,NA,2016,periurbano,Total,NA
COL,Altos del Sol,NA,2017,periurbano,Indígena,NA
COL,Altos del Sol,NA,2017,periurbano,No indígena,NA
COL,Altos del Sol,NA,2017,periurbano,Total,NA
COL,Altos del Sol,NA,2018,periurbano,Indígena,NA
COL,Altos del Sol,NA,2018,periurbano,No indígena,NA
COL,Altos del Sol,NA,2018,periurbano,Total,NA
COL,Altos del Sol,NA,2019,periurbano,Indígena,NA
COL,Altos del Sol,NA,2019,periurbano,No indígena,NA
COL,Altos del Sol,NA,2019,periurbano,Total,NA
COL,Altos del Sol,NA,2020,periurbano,Indígena,0
COL,Altos del Sol,NA,2020,periurbano,No indígena,0
COL,Altos del Sol,NA,2020,periurbano,Total,0
COL,Altos del Sol,NA,2021,periurbano,Indígena,0
COL,Altos del Sol,NA,2021,periurbano,No indígena,0.0384
COL,Altos del Sol,NA,2021,periurbano,Total,0.0266
COL,Altos del Sol,NA,2022,periurbano,Indígena,0.0484
COL,Altos del Sol,NA,2022,periurbano,No indígena,0.1084
COL,Altos del Sol,NA,2022,periurbano,Total,0.0903
COL,Altos del Sol,NA,2023,periurbano,Indígena,0.3184
COL,Altos del Sol,NA,2023,periurbano,No indígena,0.3284
COL,Altos del Sol,NA,2023,periurbano,Total,0.3254
COL,Altos del Sol,NA,2024,periurbano,Indígena,0.3684
COL,Altos del Sol,NA,2024,periurbano,No indígena,0.3784
COL,Altos del Sol,NA,2024,periurbano,Total,0.3754
COL,Altos del Sol,NA,2025,periurbano,Indígena,0.4184
COL,Altos del Sol,NA,2025,periurbano,No indígena,0.4284
COL,Altos del Sol,NA,2025,periurbano,Total,0.4254
COL,Bosques del Valle,NA,2016,periurbano,Indígena,NA
COL,Bosques del Valle,NA,2016,periurbano,No indígena,NA
COL,Bosques del Valle,NA,2016,periurbano,Total,NA
COL,Bosques del Valle,NA,2017,periurbano,Indígena,NA
COL,Bosques del Valle,NA,2017,periurbano,No indígena,NA
COL,Bosques del Valle,NA,2017,periurbano,Total,NA
COL,Bosques del Valle,NA,2018,periurbano,Indígena,NA
COL,Bosques del Valle,NA,2018,periurbano,No indígena,NA
COL,Bosques del Valle,NA,2018,periurbano,Total,NA
COL,Bosques del Valle,NA,2019,periurbano,Indígena,NA
COL,Bosques del Valle,NA,2019,periurbano,No indígena,NA
COL,Bosques del Valle,NA,2019,periurbano,Total,NA
COL,Bosques del Valle,NA,2020,periurbano,Indígena,0
COL,Bosques del Valle,NA,2020,periurbano,No indígena,0.0037
COL,Bosques del Valle,NA,2020,periurbano,Total,0.0026
COL,Bosques del Valle,NA,2021,periurbano,Indígena,0
COL,Bosques del Valle,NA,2021,periurbano,No indígena,0.0437
COL,Bosques del Valle,NA,2021,periurbano,Total,0.0307
COL,Bosques del Valle,NA,2022,periurbano,Indígena,0.0537
COL,Bosques del Valle,NA,2022,periurbano,No indígena,0.1137
COL,Bosques del Valle,NA,2022,periurbano,Total,0.0955
COL,Bosques del Valle,NA,2023,periurbano,Indígena,0.3237
COL,Bosques del Valle,NA,2023,periurbano,No indígena,0.3337
COL,Bosques del Valle,NA,2023,periurbano,Total,0.3307
COL,Bosques del Valle,NA,2024,periurbano,Indígena,0.3737
COL,Bosques del Valle,NA,2024,periurbano,No indígena,0.3837
COL,Bosques del Valle,NA,2024,periurbano,Total,0.3807
COL,Bosques del Valle,NA,2025,periurbano,Indígena,0.4237
COL,Bosques del Valle,NA,2025,periurbano,No indígena,0.4337
COL,Bosques del Valle,NA,2025,periurbano,Total,0.4307
COL,Colinas del Valle,NA,2016,rural,Indígena,NA
COL,Colinas del Valle,NA,2016,rural,No indígena,NA
COL,Colinas del Valle,NA,2016,rural,Total,NA
COL,Colinas del Valle,NA,2017,rural,Indígena,NA
COL,Colinas del Valle,NA,2017,rural,No indígena,NA
COL,Colinas del Valle,NA,2017,rural,Total,NA
COL,Colinas del Valle,NA,2018,rural,Indígena,NA
COL,Colinas del Valle,NA,2018,rural,No indígena,NA
COL,Colinas del Valle,NA,2018,rural,Total,NA
COL,Colinas del Valle,NA,2019,rural,Indígena,NA
COL,Colinas del Valle,NA,2019,rural,No indígena,NA
COL,Colinas del Valle,NA,2019,rural,Total,NA
COL,Colinas del Valle,NA,2020,rural,Indígena,0
COL,Colinas del Valle,NA,2020,rural,No indígena,0.0035
COL,Colinas del Valle,NA,2020,rural,Total,0.002
COL,Colinas del Valle,NA,2021,rural,Indígena,0
COL,Colinas del Valle,NA,2021,rural,No indígena,0.0235
COL,Colinas del Valle,NA,2021,rural,Total,0.0127
COL,Colinas del Valle,NA,2022,rural,Indígena,0.0035
COL,Colinas del Valle,NA,2022,rural,No indígena,0.0635
COL,Colinas del Valle,NA,2022,rural,Total,0.0358
COL,Colinas del Valle,NA,2023,rural,Indígena,0.2135
COL,Colinas del Valle,NA,2023,rural,No indígena,0.2235
COL,Colinas del Valle,NA,2023,rural,Total,0.2189
COL,Colinas del Valle,NA,2024,rural,Indígena,0.2635
COL,Colinas del Valle,NA,2024,rural,No indígena,0.2735
COL,Colinas del Valle,NA,2024,rural,Total,0.2689
COL,Colinas del Valle,NA,2025,rural,Indígena,0.3135
COL,Colinas del Valle,NA,2025,rural,No indígena,0.3235
COL,Colinas del Valle,NA,2025,rural,Total,0.3189
COL,El Carmen,NA,2016,periurbano,Indígena,NA
COL,El Carmen,NA,2016,periurbano,No indígena,NA
COL,El Carmen,NA,2016,periurbano,Total,NA
COL,El Carmen,NA,2017,periurbano,Indígena,NA
COL,El Carmen,NA,2017,periurbano,No indígena,NA
COL,El Carmen,NA,2017,periurbano,Total,NA
COL,El Carmen,NA,2018,periurbano,Indígena,NA
COL,El Carmen,NA,2018,periurbano,No indígena,NA
COL,El Carmen,NA,2018,periurbano,Total,NA
COL,El Carmen,NA,2019,periurbano,Indígena,NA
COL,El Carmen,NA,2019,periurbano,No indígena,NA
COL,El Carmen,NA,2019,periurbano,Total,NA
COL,El Carmen,NA,2020,periurbano,Indígena,0
COL,El Carmen,NA,2020,periurbano,No indígena,0.0075
COL,El Carmen,NA,2020,periurbano,Total,0.0053
COL,El Carmen,NA,2021,periurbano,Indígena,0
COL,El Carmen,NA,2021,periurbano,No indígena,0.0475
COL,El Carmen,NA,2021,periurbano,Total,0.0334
COL,El Carmen,NA,2022,periurbano,Indígena,0.0575
COL,El Carmen,NA,2022,periurbano,No indígena,0.1175
COL,El Carmen,NA,2022,periurbano,Total,0.0993
COL,El Carmen,NA,2023,periurbano,Indígena,0.3275
COL,El Carmen,NA,2023,periurbano,No indígena,0.3375
COL,El Carmen,NA,2023,periurbano,Total,0.3345
COL,El Carmen,NA,2024,periurbano,Indígena,0.3775
COL,El Carmen,NA,2024,periurbano,No indígena,0.3875
COL,El Carmen,NA,2024,periurbano,Total,0.3846
COL,El Carmen,NA,2025,periurbano,Indígena,0.4275
COL,El Carmen,NA,2025,periurbano,No indígena,0.4375
COL,El Carmen,NA,2025,periurbano,Total,0.4346
COL,El Edén,NA,2016,periurbano,Indígena,NA
COL,El Edén,NA,2016,periurbano,No indígena,NA
COL,El Edén,NA,2016,periurbano,Total,NA
COL,El Edén,NA,2017,periurbano,Indígena,NA
COL,El Edén,NA,2017,periurbano,No indígena,NA
COL,El Edén,NA,2017,periurbano,Total,NA
COL,El Edén,NA,2018,periurbano,Indígena,NA
COL,El Edén,NA,2018,periurbano,No indígena,NA
COL,El Edén,NA,2018,periurbano,Total,NA
COL,El Edén,NA,2019,periurbano,Indígena,NA
COL,El Edén,NA,2019,periurbano,No indígena,NA
COL,El Edén,NA,2019,periurbano,Total,NA
COL,El Edén,NA,2020,periurbano,Indígena,0.0642
COL,El Edén,NA,2020,periurbano,No indígena,0.1242
COL,El Edén,NA,2020,periurbano,Total,0.106
COL,El Edén,NA,2021,periurbano,Indígena,0.1042
COL,El Edén,NA,2021,periurbano,No indígena,0.1642
COL,El Edén,NA,2021,periurbano,Total,0.1464
COL,El Edén,NA,2022,periurbano,Indígena,0.1742
COL,El Edén,NA,2022,periurbano,No indígena,0.2342
COL,El Edén,NA,2022,periurbano,Total,0.2167
COL,El Edén,NA,2023,periurbano,Indígena,0.4442
COL,El Edén,NA,2023,periurbano,No indígena,0.4542
COL,El Edén,NA,2023,periurbano,Total,0.4513
COL,El Edén,NA,2024,periurbano,Indígena,0.4942
COL,El Edén,NA,2024,periurbano,No indígena,0.5042
COL,El Edén,NA,2024,periurbano,Total,0.5013
COL,El Edén,NA,2025,periurbano,Indígena,0.5442
COL,El Edén,NA,2025,periurbano,No indígena,0.5542
COL,El Edén,NA,2025,periurbano,Total,0.5513
COL,El Mirador,NA,2016,rural,Indígena,NA
COL,El Mirador,NA,2016,rural,No indígena,NA
COL,El Mirador,NA,2016,rural,Total,NA
COL,El Mirador,NA,2017,rural,Indígena,NA
COL,El Mirador,NA,2017,rural,No indígena,NA
COL,El Mirador,NA,2017,rural,Total,NA
COL,El Mirador,NA,2018,rural,Indígena,NA
COL,El Mirador,NA,2018,rural,No indígena,NA
COL,El Mirador,NA,2018,rural,Total,NA
COL,El Mirador,NA,2019,rural,Indígena,NA
COL,El Mirador,NA,2019,rural,No indígena,NA
COL,El Mirador,NA,2019,rural,Total,NA
COL,El Mirador,NA,2020,rural,Indígena,0
COL,El Mirador,NA,2020,rural,No indígena,0
COL,El Mirador,NA,2020,rural,Total,0
COL,El Mirador,NA,2021,rural,Indígena,0
COL,El Mirador,NA,2021,rural,No indígena,0
COL,El Mirador,NA,2021,rural,Total,0
COL,El Mirador,NA,2022,rural,Indígena,0
COL,El Mirador,NA,2022,rural,No indígena,0.0349
COL,El Mirador,NA,2022,rural,Total,0.0191
COL,El Mirador,NA,2023,rural,Indígena,0.1849
COL,El Mirador,NA,2023,rural,No indígena,0.1949
COL,El Mirador,NA,2023,rural,Total,0.1904
COL,El Mirador,NA,2024,rural,Indígena,0.2349
COL,El Mirador,NA,2024,rural,No indígena,0.2449
COL,El Mirador,NA,2024,rural,Total,0.2404
COL,El Mirador,NA,2025,rural,Indígena,0.2849
COL,El Mirador,NA,2025,rural,No indígena,0.2949
COL,El Mirador,NA,2025,rural,Total,0.2904
COL,El Porvenir,NA,2016,rural,Indígena,NA
COL,El Porvenir,NA,2016,rural,No indígena,NA
COL,El Porvenir,NA,2016,rural,Total,NA
COL,El Porvenir,NA,2017,rural,Indígena,NA
COL,El Porvenir,NA,2017,rural,No indígena,NA
COL,El Porvenir,NA,2017,rural,Total,NA
COL,El Porvenir,NA,2018,rural,Indígena,NA
COL,El Porvenir,NA,2018,rural,No indígena,NA
COL,El Porvenir,NA,2018,rural,Total,NA
COL,El Porvenir,NA,2019,rural,Indígena,NA
COL,El Porvenir,NA,2019,rural,No indígena,NA
COL,El Porvenir,NA,2019,rural,Total,NA
COL,El Porvenir,NA,2020,rural,Indígena,0
COL,El Porvenir,NA,2020,rural,No indígena,0.0537
COL,El Porvenir,NA,2020,rural,Total,0.0289
COL,El Porvenir,NA,2021,rural,Indígena,0.0137
COL,El Porvenir,NA,2021,rural,No indígena,0.0737
COL,El Porvenir,NA,2021,rural,Total,0.0471
COL,El Porvenir,NA,2022,rural,Indígena,0.0537
COL,El Porvenir,NA,2022,rural,No indígena,0.1137
COL,El Porvenir,NA,2022,rural,Total,0.0871
COL,El Porvenir,NA,2023,rural,Indígena,0.2637
COL,El Porvenir,NA,2023,rural,No indígena,0.2737
COL,El Porvenir,NA,2023,rural,Total,0.2693
COL,El Porvenir,NA,2024,rural,Indígena,0.3137
COL,El Porvenir,NA,2024,rural,No indígena,0.3237
COL,El Porvenir,NA,2024,rural,Total,0.3193
COL,El Porvenir,NA,2025,rural,Indígena,0.3637
COL,El Porvenir,NA,2025,rural,No indígena,0.3737
COL,El Porvenir,NA,2025,rural,Total,0.3693
COL,La Alameda,NA,2016,rural,Indígena,NA
COL,La Alameda,NA,2016,rural,No indígena,NA
COL,La Alameda,NA,2016,rural,Total,NA
COL,La Alameda,NA,2017,rural,Indígena,NA
COL,La Alameda,NA,2017,rural,No indígena,NA
COL,La Alameda,NA,2017,rural,Total,NA
COL,La Alameda,NA,2018,rural,Indígena,NA
COL,La Alameda,NA,2018,rural,No indígena,NA
COL,La Alameda,NA,2018,rural,Total,NA
COL,La Alameda,NA,2019,rural,Indígena,NA
COL,La Alameda,NA,2019,rural,No indígena,NA
COL,La Alameda,NA,2019,rural,Total,NA
COL,La Alameda,NA,2020,rural,Indígena,0
COL,La Alameda,NA,2020,rural,No indígena,0
COL,La Alameda,NA,2020,rural,Total,0
COL,La Alameda,NA,2021,rural,Indígena,0
COL,La Alameda,NA,2021,rural,No indígena,0
COL,La Alameda,NA,2021,rural,Total,0
COL,La Alameda,NA,2022,rural,Indígena,0
COL,La Alameda,NA,2022,rural,No indígena,4e-4
COL,La Alameda,NA,2022,rural,Total,2e-4
COL,La Alameda,NA,2023,rural,Indígena,0.1504
COL,La Alameda,NA,2023,rural,No indígena,0.1604
COL,La Alameda,NA,2023,rural,Total,0.1558
