iso3,NAME_2,cod_local,anio,sexo,zona,valor
COL,Altos del Sol,NA,2016,Hombres,periurbano,0.6192
COL,Altos del Sol,NA,2016,Mujeres,periurbano,0.6792
COL,Altos del Sol,NA,2016,Total,periurbano,0.6498
COL,Altos del Sol,NA,2017,Hombres,periurbano,0.6186
COL,Altos del Sol,NA,2017,Mujeres,periurbano,0.6786
COL,Altos del Sol,NA,2017,Total,periurbano,0.6492
COL,Altos del Sol,NA,2018,Hombres,periurbano,0.621
COL,Altos del Sol,NA,2018,Mujeres,periurbano,0.681
COL,Altos del Sol,NA,2018,Total,periurbano,0.6516
COL,Altos del Sol,NA,2019,Hombres,periurbano,0.6194
COL,Altos del Sol,NA,2019,Mujeres,periurbano,0.6794
COL,Altos del Sol,NA,2019,Total,periurbano,0.65
COL,Altos del Sol,NA,2020,Hombres,periurbano,0.6798
COL,Altos del Sol,NA,2020,Mujeres,periurbano,0.7398
COL,Altos del Sol,NA,2020,Total,periurbano,0.7104
COL,Altos del Sol,NA,2021,Hombres,periurbano,0.6646
COL,Altos del Sol,NA,2021,Mujeres,periurbano,0.7246
COL,Altos del Sol,NA,2021,Total,periurbano,0.6952
COL,Altos del Sol,NA,2022,Hombres,periurbano,0.6403
COL,Altos del Sol,NA,2022,Mujeres,periurbano,0.7003
COL,Altos del Sol,NA,2022,Total,periurbano,0.6709
COL,Altos del Sol,NA,2023,Hombres,periurbano,0.6081
COL,Altos del Sol,NA,2023,Mujeres,periurbano,0.6681
COL,Altos del Sol,NA,2023,Total,periurbano,0.6387
COL,Altos del Sol,NA,2024,Hombres,periurbano,0.6105
COL,Altos del Sol,NA,2024,Mujeres,periurbano,0.6705
COL,Altos del Sol,NA,2024,Total,periurbano,0.6411
COL,Altos del Sol,NA,2025,Hombres,periurbano,0.608
COL,Altos del Sol,NA,2025,Mujeres,periurbano,0.668
COL,Altos del Sol,NA,2025,Total,periurbano,0.6386
COL,Bosques del Valle,NA,2016,Hombres,periurbano,0.6091
COL,Bosques del Valle,NA,2016,Mujeres,periurbano,0.6691
COL,Bosques del Valle,NA,2016,Total,periurbano,0.6397
COL,Bosques del Valle,NA,2017,Hombres,periurbano,0.6084
COL,Bosques del Valle,NA,2017,Mujeres,periurbano,0.6684
COL,Bosques del Valle,NA,2017,Total,periurbano,0.6391
COL,Bosques del Valle,NA,2018,Hombres,periurbano,0.6108
COL,Bosques del Valle,NA,2018,Mujeres,periurbano,0.6708
COL,Bosques del Valle,NA,2018,Total,periurbano,0.6414
COL,Bosques del Valle,NA,2019,Hombres,periurbano,0.6093
COL,Bosques del Valle,NA,2019,Mujeres,periurbano,0.6693
COL,Bosques del Valle,NA,2019,Total,periurbano,0.6399
COL,Bosques del Valle,NA,2020,Hombres,periurbano,0.6697
COL,Bosques del Valle,NA,2020,Mujeres,periurbano,0.7297
COL,Bosques del Valle,NA,2020,Total,periurbano,0.7003
COL,Bosques del Valle,NA,2021,Hombres,periurbano,0.6545
COL,Bosques del Valle,NA,2021,Mujeres,periurbano,0.7145
COL,Bosques del Valle,NA,2021,Total,periurbano,0.6851
COL,Bosques del Valle,NA,2022,Hombres,periurbano,0.6301
COL,Bosques del Valle,NA,2022,Mujeres,periurbano,0.6901
COL,Bosques del Valle,NA,2022,Total,periurbano,0.6607
COL,Bosques del Valle,NA,2023,Hombres,periurbano,0.5979
COL,Bosques del Valle,NA,2023,Mujeres,periurbano,0.6579
COL,Bosques del Valle,NA,2023,Total,periurbano,0.6285
COL,Bosques del Valle,NA,2024,Hombres,periurbano,0.6004
COL,Bosques del Valle,NA,2024,Mujeres,periurbano,0.6604
COL,Bosques del Valle,NA,2024,Total,periurbano,0.631
COL,Bosques del Valle,NA,2025,Hombres,periurbano,0.5979
COL,Bosques del Valle,NA,2025,Mujeres,periurbano,0.6579
COL,Bosques del Valle,NA,2025,Total,periurbano,0.6285
COL,Colinas del Valle,NA,2016,Hombres,rural,0.66
COL,Colinas del Valle,NA,2016,Mujeres,rural,0.72
COL,Colinas del Valle,NA,2016,Total,rural,0.6906
COL,Colinas del Valle,NA,2017,Hombres,rural,0.6593
COL,Colinas del Valle,NA,2017,Mujeres,rural,0.7193
COL,Colinas del Valle,NA,2017,Total,rural,0.69
COL,Colinas del Valle,NA,2018,Hombres,rural,0.6617
COL,Colinas del Valle,NA,2018,Mujeres,rural,0.7217
COL,Colinas del Valle,NA,2018,Total,rural,0.6923
COL,Colinas del Valle,NA,2019,Hombres,rural,0.6602
COL,Colinas del Valle,NA,2019,Mujeres,rural,0.7202
COL,Colinas del Valle,NA,2019,Total,rural,0.6908
COL,Colinas del Valle,NA,2020,Hombres,rural,0.7206
COL,Colinas del Valle,NA,2020,Mujeres,rural,0.7806
COL,Colinas del Valle,NA,2020,Total,rural,0.7512
COL,Colinas del Valle,NA,2021,Hombres,rural,0.7054
COL,Colinas del Valle,NA,2021,Mujeres,rural,0.7654
COL,Colinas del Valle,NA,2021,Total,rural,0.736
COL,Colinas del Valle,NA,2022,Hombres,rural,0.681
COL,Colinas del Valle,NA,2022,Mujeres,rural,0.741
COL,Colinas del Valle,NA,2022,Total,rural,0.7116
COL,Colinas del Valle,NA,2023,Hombres,rural,0.6558
COL,Colinas del Valle,NA,2023,Mujeres,rural,0.7158
COL,Colinas del Valle,NA,2023,Total,rural,0.6864
COL,Colinas del Valle,NA,2024,Hombres,rural,0.6583
COL,Colinas del Valle,NA,2024,Mujeres,rural,0.7183
COL,Colinas del Valle,NA,2024,Total,rural,0.6889
COL,Colinas del Valle,NA,2025,Hombres,rural,0.6558
COL,Colinas del Valle,NA,2025,Mujeres,rural,0.7158
COL,Colinas del Valle,NA,2025,Total,rural,0.6863
COL,El Carmen,NA,2016,Hombres,periurbano,0.601
COL,El Carmen,NA,2016,Mujeres,periurbano,0.661
COL,El Carmen,NA,2016,Total,periurbano,0.6316
COL,El Carmen,NA,2017,Hombres,periurbano,0.6004
COL,El Carmen,NA,2017,Mujeres,periurbano,0.6604
COL,El Carmen,NA,2017,Total,periurbano,0.631
COL,El Carmen,NA,2018,Hombres,periurbano,0.6027
COL,El Carmen,NA,2018,Mujeres,periurbano,0.6627
COL,El Carmen,NA,2018,Total,periurbano,0.6333
COL,El Carmen,NA,2019,Hombres,periurbano,0.6012
COL,El Carmen,NA,2019,Mujeres,periurbano,0.6612
COL,El Carmen,NA,2019,Total,periurbano,0.6318
COL,El Carmen,NA,2020,Hombres,periurbano,0.6616
COL,El Carmen,NA,2020,Mujeres,periurbano,0.7216
COL,El Carmen,NA,2020,Total,periurbano,0.6922
COL,El Carmen,NA,2021,Hombres,periurbano,0.6464
COL,El Carmen,NA,2021,Mujeres,periurbano,0.7064
COL,El Carmen,NA,2021,Total,periurbano,0.677
COL,El Carmen,NA,2022,Hombres,periurbano,0.622
COL,El Carmen,NA,2022,Mujeres,periurbano,0.682
COL,El Carmen,NA,2022,Total,periurbano,0.6526
COL,El Carmen,NA,2023,Hombres,periurbano,0.5898
COL,El Carmen,NA,2023,Mujeres,periurbano,0.6498
COL,El Carmen,NA,2023,Total,periurbano,0.6204
COL,El Carmen,NA,2024,Hombres,periurbano,0.5923
COL,El Carmen,NA,2024,Mujeres,periurbano,0.6523
COL,El Carmen,NA,2024,Total,periurbano,0.6229
COL,El Carmen,NA,2025,Hombres,periurbano,0.5898
COL,El Carmen,NA,2025,Mujeres,periurbano,0.6498
COL,El Carmen,NA,2025,Total,periurbano,0.6204
COL,El Edén,NA,2016,Hombres,periurbano,0.5995
COL,El Edén,NA,2016,Mujeres,periurbano,0.6595
COL,El Edén,NA,2016,Total,periurbano,0.6301
COL,El Edén,NA,2017,Hombres,periurbano,0.5988
COL,El Edén,NA,2017,Mujeres,periurbano,0.6588
COL,El Edén,NA,2017,Total,periurbano,0.6294
COL,El Edén,NA,2018,Hombres,periurbano,0.6012
COL,El Edén,NA,2018,Mujeres,periurbano,0.6612
COL,El Edén,NA,2018,Total,periurbano,0.6318
COL,El Edén,NA,2019,Hombres,periurbano,0.5996
COL,El Edén,NA,2019,Mujeres,periurbano,0.6596
COL,El Edén,NA,2019,Total,periurbano,0.6302
COL,El Edén,NA,2020,Hombres,periurbano,0.6601
COL,El Edén,NA,2020,Mujeres,periurbano,0.7201
COL,El Edén,NA,2020,Total,periurbano,0.6907
COL,El Edén,NA,2021,Hombres,periurbano,0.6449
COL,El Edén,NA,2021,Mujeres,periurbano,0.7049
COL,El Edén,NA,2021,Total,periurbano,0.6755
COL,El Edén,NA,2022,Hombres,periurbano,0.6205
COL,El Edén,NA,2022,Mujeres,periurbano,0.6805
COL,El Edén,NA,2022,Total,periurbano,0.6511
COL,El Edén,NA,2023,Hombres,periurbano,0.5883
COL,El Edén,NA,2023,Mujeres,periurbano,0.6483
COL,El Edén,NA,2023,Total,periurbano,0.6189
COL,El Edén,NA,2024,Hombres,periurbano,0.5908
COL,El Edén,NA,2024,Mujeres,periurbano,0.6508
COL,El Edén,NA,2024,Total,periurbano,0.6214
COL,El Edén,NA,2025,Hombres,periurbano,0.5882
COL,El Edén,NA,2025,Mujeres,periurbano,0.6482
COL,El Edén,NA,2025,Total,periurbano,0.6188
COL,El Mirador,NA,2016,Hombres,rural,0.5777
COL,El Mirador,NA,2016,Mujeres,rural,0.6377
COL,El Mirador,NA,2016,Total,rural,0.6083
COL,El Mirador,NA,2017,Hombres,rural,0.5771
COL,El Mirador,NA,2017,Mujeres,rural,0.6371
COL,El Mirador,NA,2017,Total,rural,0.6077
COL,El Mirador,NA,2018,Hombres,rural,0.5795
COL,El Mirador,NA,2018,Mujeres,rural,0.6395
COL,El Mirador,NA,2018,Total,rural,0.61
COL,El Mirador,NA,2019,Hombres,rural,0.5779
COL,El Mirador,NA,2019,Mujeres,rural,0.6379
COL,El Mirador,NA,2019,Total,rural,0.6085
COL,El Mirador,NA,2020,Hombres,rural,0.6383
COL,El Mirador,NA,2020,Mujeres,rural,0.6983
COL,El Mirador,NA,2020,Total,rural,0.6689
COL,El Mirador,NA,2021,Hombres,rural,0.6231
COL,El Mirador,NA,2021,Mujeres,rural,0.6831
COL,El Mirador,NA,2021,Total,rural,0.6538
COL,El Mirador,NA,2022,Hombres,rural,0.5988
COL,El Mirador,NA,2022,Mujeres,rural,0.6588
COL,El Mirador,NA,2022,Total,rural,0.6293
COL,El Mirador,NA,2023,Hombres,rural,0.5736
COL,El Mirador,NA,2023,Mujeres,rural,0.6336
COL,El Mirador,NA,2023,Total,rural,0.6042
COL,El Mirador,NA,2024,Hombres,rural,0.576
COL,El Mirador,NA,2024,Mujeres,rural,0.636
COL,El Mirador,NA,2024,Total,rural,0.6066
COL,El Mirador,NA,2025,Hombres,rural,0.5735
COL,El Mirador,NA,2025,Mujeres,rural,0.6335
COL,El Mirador,NA,2025,Total,rural,0.6041
COL,El Porvenir,NA,2016,Hombres,rural,0.7357
COL,El Porvenir,NA,2016,Mujeres,rural,0.7957
COL,El Porvenir,NA,2016,Total,rural,0.7663
COL,El Porvenir,NA,2017,Hombres,rural,0.7351
