iso3,Territorio,cod_local,anio,sexo,zona,etnia,valor
COL,Altos del Sol,NA,2016,Mujeres,periurbano,Indígena,0.356
COL,Altos del Sol,NA,2016,Mujeres,periurbano,No indígena,0.296
COL,Altos del Sol,NA,2016,Mujeres,periurbano,Total,0.3137
COL,Altos del Sol,NA,2017,Mujeres,periurbano,Indígena,0.3538
COL,Altos del Sol,NA,2017,Mujeres,periurbano,No indígena,0.2938
COL,Altos del Sol,NA,2017,Mujeres,periurbano,Total,0.3115
COL,Altos del Sol,NA,2018,Mujeres,periurbano,Indígena,0.3492
COL,Altos del Sol,NA,2018,Mujeres,periurbano,No indígena,0.2892
COL,Altos del Sol,NA,2018,Mujeres,periurbano,Total,0.3072
COL,Altos del Sol,NA,2019,Mujeres,periurbano,Indígena,0.454
COL,Altos del Sol,NA,2019,Mujeres,periurbano,No indígena,0.394
COL,Altos del Sol,NA,2019,Mujeres,periurbano,Total,0.412
COL,Altos del Sol,NA,2020,Mujeres,periurbano,Indígena,0.6954
COL,Altos del Sol,NA,2020,Mujeres,periurbano,No indígena,0.6354
COL,Altos del Sol,NA,2020,Mujeres,periurbano,Total,0.6536
COL,Altos del Sol,NA,2021,Mujeres,periurbano,Indígena,0.5814
COL,Altos del Sol,NA,2021,Mujeres,periurbano,No indígena,0.5214
COL,Altos del Sol,NA,2021,Mujeres,periurbano,Total,0.539
COL,Altos del Sol,NA,2022,Mujeres,periurbano,Indígena,0.422
COL,Altos del Sol,NA,2022,Mujeres,periurbano,No indígena,0.362
COL,Altos del Sol,NA,2022,Mujeres,periurbano,Total,0.3803
COL,Altos del Sol,NA,2023,Mujeres,periurbano,Indígena,0.3604
COL,Altos del Sol,NA,2023,Mujeres,periurbano,No indígena,0.3004
COL,Altos del Sol,NA,2023,Mujeres,periurbano,Total,0.3187
COL,Altos del Sol,NA,2024,Mujeres,periurbano,Indígena,0.2732
COL,Altos del Sol,NA,2024,Mujeres,periurbano,No indígena,0.2132
COL,Altos del Sol,NA,2024,Mujeres,periurbano,Total,0.2315
COL,Altos del Sol,NA,2025,Mujeres,periurbano,Indígena,0.3761
COL,Altos del Sol,NA,2025,Mujeres,periurbano,No indígena,0.3161
