iso3,NAME_2,anio,sexo,grupo_edad,zona,valor
COL,Altos del Sol,2016,Mujeres,10-14,periurbano,0.6
COL,Altos del Sol,2016,Mujeres,15-19,periurbano,0.17647058823529413
COL,Altos del Sol,2016,Mujeres,20-34,periurbano,0.44
COL,Altos del Sol,2016,Mujeres,35-49,periurbano,0.5625
COL,Altos del Sol,2016,Mujeres,Todas las edades,periurbano,0.4126984126984127
COL,Altos del Sol,2017,Mujeres,10-14,periurbano,0.6666666666666666
COL,Altos del Sol,2017,Mujeres,15-19,periurbano,0.2
COL,Altos del Sol,2017,Mujeres,20-34,periurbano,0.4074074074074074
COL,Altos del Sol,2017,Mujeres,35-49,periurbano,0.2857142857142857
COL,Altos del Sol,2017,Mujeres,Todas las edades,periurbano,0.35185185185185186
COL,Altos del Sol,2018,Mujeres,10-14,periurbano,0.16666666666666666
COL,Altos del Sol,2018,Mujeres,15-19,periurbano,0.25
COL,Altos del Sol,2018,Mujeres,20-34,periurbano,0.3333333333333333
COL,Altos del Sol,2018,Mujeres,35-49,periurbano,0.35714285714285715
COL,Altos del Sol,2018,Mujeres,Todas las edades,periurbano,0.3050847457627119
COL,Altos del Sol,2019,Mujeres,10-14,periurbano,1
COL,Altos del Sol,2019,Mujeres,15-19,periurbano,0.13333333333333333
COL,Altos del Sol,2019,Mujeres,20-34,periurbano,0.40540540540540543
COL,Altos del Sol,2019,Mujeres,35-49,periurbano,0.2222222222222222
COL,Altos del Sol,2019,Mujeres,Todas las edades,periurbano,0.3333333333333333
COL,Altos del Sol,2020,Mujeres,10-14,periurbano,0.3333333333333333
COL,Altos del Sol,2020,Mujeres,15-19,periurbano,0.38461538461538464
COL,Altos del Sol,2020,Mujeres,20-34,periurbano,0.34146341463414637
COL,Altos del Sol,2020,Mujeres,35-49,periurbano,0.2631578947368421
COL,Altos del Sol,2020,Mujeres,Todas las edades,periurbano,0.32894736842105265
COL,Altos del Sol,2021,Mujeres,10-14,periurbano,0.2857142857142857
COL,Altos del Sol,2021,Mujeres,15-19,periurbano,0.38461538461538464
COL,Altos del Sol,2021,Mujeres,20-34,periurbano,0.2857142857142857
COL,Altos del Sol,2021,Mujeres,35-49,periurbano,0.2777777777777778
COL,Altos del Sol,2021,Mujeres,Todas las edades,periurbano,0.2978723404255319
COL,Altos del Sol,2022,Mujeres,10-14,periurbano,0.3333333333333333
COL,Altos del Sol,2022,Mujeres,15-19,periurbano,0.375
COL,Altos del Sol,2022,Mujeres,20-34,periurbano,0.28125
COL,Altos del Sol,2022,Mujeres,35-49,periurbano,0.2
COL,Altos del Sol,2022,Mujeres,Todas las edades,periurbano,0.2830188679245283
COL,Altos del Sol,2023,Mujeres,10-14,periurbano,0.5
COL,Altos del Sol,2023,Mujeres,15-19,periurbano,0.3125
COL,Altos del Sol,2023,Mujeres,20-34,periurbano,0.4186046511627907
COL,Altos del Sol,2023,Mujeres,35-49,periurbano,0.36363636363636365
COL,Altos del Sol,2023,Mujeres,Todas las edades,periurbano,0.39080459770114945
COL,Altos del Sol,2024,Mujeres,10-14,periurbano,0.2
COL,Altos del Sol,2024,Mujeres,15-19,periurbano,0.3333333333333333
COL,Altos del Sol,2024,Mujeres,20-34,periurbano,0.36585365853658536
COL,Altos del Sol,2024,Mujeres,35-49,periurbano,0.45
COL,Altos del Sol,2024,Mujeres,Todas las edades,periurbano,0.36904761904761907
COL,Altos del Sol,2025,Mujeres,10-14,periurbano,0
COL,Altos del Sol,2025,Mujeres,15-19,periurbano,0.15384615384615385
COL,Altos del Sol,2025,Mujeres,20-34,periurbano,0.3111111111111111
