iso3,NAME_2,cod_local,anio,zona,valor
COL,Altos del Sol,NA,2016,periurbano,NA
COL,Altos del Sol,NA,2017,periurbano,NA
COL,Altos del Sol,NA,2018,periurbano,NA
COL,Altos del Sol,NA,2019,periurbano,0.155
COL,Altos del Sol,NA,2020,periurbano,0.115
COL,Altos del Sol,NA,2021,periurbano,0.135
COL,Altos del Sol,NA,2022,periurbano,0.215
COL,Altos del Sol,NA,2023,periurbano,0.275
COL,Altos del Sol,NA,2024,periurbano,0.275
COL,Altos del Sol,NA,2025,periurbano,0.275
COL,Bosques del Valle,NA,2016,periurbano,NA
COL,Bosques del Valle,NA,2017,periurbano,NA
COL,Bosques del Valle,NA,2018,periurbano,NA
COL,Bosques del Valle,NA,2019,periurbano,0.1195
COL,Bosques del Valle,NA,2020,periurbano,0.0795
COL,Bosques del Valle,NA,2021,periurbano,0.0995
COL,Bosques del Valle,NA,2022,periurbano,0.1795
COL,Bosques del Valle,NA,2023,periurbano,0.2395
COL,Bosques del Valle,NA,2024,periurbano,0.2395
COL,Bosques del Valle,NA,2025,periurbano,0.2395
COL,Colinas del Valle,NA,2016,rural,NA
COL,Colinas del Valle,NA,2017,rural,NA
COL,Colinas del Valle,NA,2018,rural,NA
COL,Colinas del Valle,NA,2019,rural,0.0124
COL,Colinas del Valle,NA,2020,rural,0.01
COL,Colinas del Valle,NA,2021,rural,0.0124
COL,Colinas del Valle,NA,2022,rural,0.0724
COL,Colinas del Valle,NA,2023,rural,0.1324
COL,Colinas del Valle,NA,2024,rural,0.1324
COL,Colinas del Valle,NA,2025,rural,0.1324
COL,El Carmen,NA,2016,periurbano,NA
COL,El Carmen,NA,2017,periurbano,NA
COL,El Carmen,NA,2018,periurbano,NA
COL,El Carmen,NA,2019,periurbano,0.1597
COL,El Carmen,NA,2020,periurbano,0.1197
COL,El Carmen,NA,2021,periurbano,0.1397
COL,El Carmen,NA,2022,periurbano,0.2197
COL,El Carmen,NA,2023,periurbano,0.2797
COL,El Carmen,NA,2024,periurbano,0.2797
COL,El Carmen,NA,2025,periurbano,0.2797
COL,El Edén,NA,2016,periurbano,NA
COL,El Edén,NA,2017,periurbano,NA
COL,El Edén,NA,2018,periurbano,NA
COL,El Edén,NA,2019,periurbano,0.1434
COL,El Edén,NA,2020,periurbano,0.1034
COL,El Edén,NA,2021,periurbano,0.1234
COL,El Edén,NA,2022,periurbano,0.2034
COL,El Edén,NA,2023,periurbano,0.2634
