iso3,NAME_2,cod_local,anio,zona,etnia,valor
COL,San Martín del Valle,NA,2016,Total,Indígena,0.1525
COL,San Martín del Valle,NA,2016,Total,No indígena,0.2269
COL,San Martín del Valle,NA,2016,Total,Total,0.2031
COL,San Martín del Valle,NA,2016,periurbano,Indígena,0.1774
COL,San Martín del Valle,NA,2016,periurbano,No indígena,0.2274
COL,San Martín del Valle,NA,2016,periurbano,Total,0.2124
COL,San Martín del Valle,NA,2016,rural,Indígena,0.0986
COL,San Martín del Valle,NA,2016,rural,No indígena,0.1448
COL,San Martín del Valle,NA,2016,rural,Total,0.1239
COL,San Martín del Valle,NA,2016,urbano,Indígena,0.274
COL,San Martín del Valle,NA,2016,urbano,No indígena,0.3205
COL,San Martín del Valle,NA,2016,urbano,Total,0.3134
COL,San Martín del Valle,NA,2017,Total,Indígena,0.18
COL,San Martín del Valle,NA,2017,Total,No indígena,0.256
COL,San Martín del Valle,NA,2017,Total,Total,0.2317
COL,San Martín del Valle,NA,2017,periurbano,Indígena,0.2072
COL,San Martín del Valle,NA,2017,periurbano,No indígena,0.257
COL,San Martín del Valle,NA,2017,periurbano,Total,0.242
COL,San Martín del Valle,NA,2017,rural,Indígena,0.1246
COL,San Martín del Valle,NA,2017,rural,No indígena,0.1733
COL,San Martín del Valle,NA,2017,rural,Total,0.1514
COL,San Martín del Valle,NA,2017,urbano,Indígena,0.2992
COL,San Martín del Valle,NA,2017,urbano,No indígena,0.3496
COL,San Martín del Valle,NA,2017,urbano,Total,0.3423
COL,San Martín del Valle,NA,2018,Total,Indígena,0.2091
COL,San Martín del Valle,NA,2018,Total,No indígena,0.2857
COL,San Martín del Valle,NA,2018,Total,Total,0.2612
COL,San Martín del Valle,NA,2018,periurbano,Indígena,0.2368
COL,San Martín del Valle,NA,2018,periurbano,No indígena,0.2868
COL,San Martín del Valle,NA,2018,periurbano,Total,0.2718
COL,San Martín del Valle,NA,2018,rural,Indígena,0.153
COL,San Martín del Valle,NA,2018,rural,No indígena,0.2016
